dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 2,Cell1,0.6,44,very_narrow_38_39,0.0045,0.0034,0.01820231708910846,0.011873237206245116,0.9299162754904716,44,34,1.3909126923222057,1.7101544999604812,1.870109500214312
Dataset 2,Cell1,0.6,45,very_narrow_38_39,0.0045,0.0034,0.015905129566450366,0.00961722195181626,0.9464895941156521,45,33,1.4149880384873261,1.7438204997688445,1.9021440002006784
Dataset 2,Cell1,0.6,46,very_narrow_38_39,0.0045,0.0034,0.017229878669881207,0.01055671161715986,0.9372045378527261,47,31,1.4731829743747464,1.7582200000560988,1.9246545000896729
Dataset 2,Cell1,0.6,47,very_narrow_38_39,0.0045,0.0034,0.0163921115033994,0.009390394999832383,0.9431626760874984,43,35,1.4423102692349998,1.814555000009932,1.9406441503633685
Dataset 2,Cell1,0.6,48,very_narrow_38_39,0.0045,0.0034,0.01951240561232984,0.012417157105238823,0.9194648534943894,49,29,1.5241192563910142,1.7935939999915718,1.999584499708362
Dataset 2,Cell1,0.6,49,very_narrow_38_39,0.0045,0.0034,0.016459931427554413,0.00958998657903871,0.9426913912104545,47,31,1.4919797307496852,1.795135000065784,1.9463616498114786
Dataset 2,Cell1,0.6,50,very_narrow_38_39,0.0045,0.0034,0.018798761619118594,0.011603223614556549,0.9252480882416364,52,26,1.5384272563924475,1.8198049999682553,1.9131309997419519
Dataset 2,Cell1,0.6,51,very_narrow_38_39,0.0045,0.0034,0.016356918451334627,0.009649246786815278,0.9434064679442539,49,29,1.504732974388809,1.8175044999679812,1.960946500139471
Dataset 2,Cell1,0.4,42,very_narrow_38_39,0.0045,0.0034,0.01752331289271034,0.011074266906885153,0.9350474428117331,29,49,1.2836535640988773,0.963075000072422,1.931910500070444
Dataset 2,Cell1,0.4,43,very_narrow_38_39,0.0045,0.0034,0.015285175468869814,0.009030239258702132,0.9505797793772219,30,48,1.3249065128279771,0.9648900002048322,1.998681849931926
Dataset 2,Cell1,0.4,44,very_narrow_38_39,0.0045,0.0034,0.02186170007611187,0.013212444341573145,0.8989045321880661,32,46,1.3364916923225023,0.9743845000684814,1.9878703501035488
Dataset 2,Cell1,0.4,45,very_narrow_38_39,0.0045,0.0034,0.015897552710332025,0.009558986575050324,0.9465405643479907,29,49,1.2330872948845912,0.9325249998255458,1.8668103500431243
Dataset 2,Cell1,0.4,46,very_narrow_38_39,0.0045,0.0034,0.015281972030806333,0.009217501595943593,0.9506004919986155,29,49,1.2648033845823357,0.9724599999572092,1.9597719999865149
Dataset 2,Cell1,0.4,47,very_narrow_38_39,0.0045,0.0034,0.015099988904806686,0.00829531291556443,0.9517700203231938,25,53,1.1923222307709342,0.9154500000931876,1.9022629998517002
Dataset 2,Cell1,0.4,48,very_narrow_38_39,0.0045,0.0034,0.017298608601114346,0.011047688948696677,0.9367025568476223,33,45,1.3747241538544002,1.0849949999283126,2.0530808499415794
Dataset 2,Cell1,0.4,49,very_narrow_38_39,0.0045,0.0034,0.017117776114948198,0.010274425655191929,0.9380190103476816,31,47,1.266642448731895,0.9362290002172813,1.887676500314228
Dataset 2,Cell1,0.4,50,very_narrow_38_39,0.0045,0.0034,0.021548882358714178,0.013391200003574112,0.9017769709457243,29,49,1.2525013461387202,0.9412750000592496,1.8985030002113488
Dataset 2,Cell1,0.4,51,very_narrow_38_39,0.0045,0.0034,0.015542491317343558,0.009372818694206055,0.9489018602895212,30,48,1.3012872435900555,0.9536294999179518,1.9653254999639103
Dataset 2,Cell2,1.0,42,very_narrow_38_39,0.0045,0.0034,0.017047753733801796,0.011400581573871062,0.9501988205627119,73,0,2.0849200547784936,2.186350000101811,2.3930160000418246
Dataset 2,Cell2,0.8,42,very_narrow_38_39,0.0045,0.0034,0.016712123045648078,0.011247416425698589,0.9521404565743667,61,12,1.6447701232707863,1.7607390000193845,1.8900315998507722
Dataset 2,Cell2,0.8,43,very_narrow_38_39,0.0045,0.0034,0.016695442027865534,0.011087765399802193,0.9522359498235221,58,15,1.5995820136807084,1.7735199999151519,1.860651400147617
Dataset 2,Cell2,0.8,44,very_narrow_38_39,0.0045,0.0034,0.016641137945303048,0.010930021688048248,0.9525461619895632,58,15,1.6432638767022183,1.8032200000561716,1.943897599903721
