dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,SVR-RBF,0.011504044264676133,0.01222425820969262,0.01861178817883111,27.9296875,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,CatBoost,0.011151933182806608,0.01231537034774865,0.01847409370524311,187.08203125,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,SVR-RBF,0.011848154793898585,0.012589414321510863,0.018071953470602684,26.890625,17
Dataset 2,Cell3,Fast-MAW-GME-K3-latency-aware,narrow_375_395,Ridge,0.00493963491340303,0.005055601310508019,0.34772950740029734,2.234375,17
Dataset 2,Cell3,Fast-MAW-GME-K3-latency-aware,full_36_42,Ridge,0.004941940269692274,0.005056275311755608,0.34768315516592746,2.1796875,17
Dataset 2,Cell3,Fast-MAW-GME-K3-latency-aware,full_36_42,ElasticNet,0.005638332448515834,0.005771685059360616,0.30458733743377525,2.2626953125,17
Dataset 2,Cell3,Fast-MAW-GME-K5-latency-aware,narrow_375_395,Ridge,0.00493963491340303,0.005055601310508019,0.22061521889210575,2.234375,17
Dataset 2,Cell3,Fast-MAW-GME-K5-latency-aware,full_36_42,Ridge,0.004941940269692274,0.005056275311755608,0.22058581095256072,2.1796875,17
Dataset 2,Cell3,Fast-MAW-GME-K5-latency-aware,full_36_42,ElasticNet,0.005638332448515834,0.005771685059360616,0.19324388839501327,2.2626953125,17
Dataset 2,Cell3,Fast-MAW-GME-K5-latency-aware,medium_37_40,Ridge,0.0058297509583542855,0.005965624458498076,0.18696163897744655,2.20703125,17
Dataset 2,Cell3,Fast-MAW-GME-K5-latency-aware,narrow_375_395,ElasticNet,0.0060988783651247215,0.006245150956201069,0.17859344278287365,2.3173828125,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,Ridge,0.004066547142028434,0.004160629387697766,0.05187381864729451,2.1796875,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,Ridge,0.0041863026751280666,0.004284583306578848,0.05037310139163673,2.234375,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,Ridge,0.005405960234942181,0.005531956481438291,0.039014743451249154,2.20703125,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,ElasticNet,0.005752600036269431,0.005888655198143443,0.036651472921617266,2.2626953125,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,ElasticNet,0.005949324896785111,0.006092010668776235,0.035428023768931165,2.3173828125,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,Ridge,0.006423400958057504,0.006575820186879333,0.032821445645732104,2.275390625,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,ElasticNet,0.007172811233375987,0.007343653170682466,0.029389726630690075,2.2900390625,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,ExtraTrees,0.0061112415593721865,0.007363432097292224,0.029310782946686226,32803.37109375,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,SVR-RBF,0.007391300325611825,0.007838928111818917,0.027532843093736895,20.50390625,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,ElasticNet,0.007884636045276802,0.00807567513201655,0.026725689464855436,2.3583984375,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,ExtraTrees,0.007058457570168484,0.008504710492369333,0.025377465755385065,32803.1171875,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,XGBoost,0.007655514373414571,0.008649388885794213,0.02495297718419497,664.51953125,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,RandomForest,0.0073526892001783955,0.008671425877495243,0.02488956340141521,9125.103515625,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,KNN,0.008523493899879053,0.00922164013341741,0.023404515453487665,68.5556640625,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,ExtraTrees,0.007666985556770465,0.009237920898121837,0.023363267752750175,32798.36328125,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,XGBoost,0.008257642104612616,0.009330753086738966,0.023130825533547523,667.2939453125,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,XGBoost,0.008397719651625737,0.00948687692920795,0.022750166062350616,660.697265625,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,RandomForest,0.008091991346613597,0.009543189159912209,0.02261592254732006,9130.2431640625,17
