scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,Ridge,19,0.01846356477303299,0.1750804321484967
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,ExtraTrees,19,0.015452083555006737,0.209202114830665
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,RandomForest,19,0.018924252711685952,0.17081831400874195
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,HistGB,19,0.08694749850375766,0.0371788761506489
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,XGBoost,19,0.013192270011087557,0.24503805616253024
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,LightGBM,19,0.08694749874742248,0.037178876046457476
only_medium_window,Only medium partial-window features are available.,False,Cell11,medium_35_40,CatBoost,19,0.025757160215827614,0.1255033306524596
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,Ridge,19,0.010697278165619465,0.19414311442522336
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,ExtraTrees,19,0.006036971076876622,0.34401380655841524
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,RandomForest,19,0.010220822087899937,0.20319332345123833
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,HistGB,19,0.0965569558654169,0.021508596731095935
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,XGBoost,19,0.015269684257409467,0.1360082792338621
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,LightGBM,19,0.09655695528037211,0.02150859686141789
only_medium_window,Only medium partial-window features are available.,False,Cell12,medium_35_40,CatBoost,19,0.02608254633763872,0.07962428273874718
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,Ridge,19,0.012337672254106383,0.2503412033489333
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,ExtraTrees,19,0.017948628840518937,0.17208158509809718
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,RandomForest,19,0.019787192360163023,0.15609231491198663
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,HistGB,19,0.0923983770233876,0.03342731752717704
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,XGBoost,19,0.0149621882315515,0.20642890665067049
