experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,XGBoost,False,43,15,19,,0.01866105975594344,0.015785685254613553,0.9456809801048448
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,XGBoost,False,48,10,19,,0.009187324774844312,0.00747962868623796,0.9881952231416875
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,LightGBM,False,47,11,19,,0.03852013413735169,0.03125824107007762,0.7993308752082009
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,LightGBM,False,48,10,19,,0.031720325500231836,0.024983608034889936,0.6498296103119241
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,LightGBM,False,46,12,19,,0.040882237457507194,0.03554541192701127,0.7205840923199455
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,LightGBM,False,43,15,19,,0.05064444866304733,0.04532197529732509,0.5999235267303653
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,LightGBM,False,48,10,19,,0.03672991511082004,0.02995860517462845,0.8113227693303632
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,CatBoost,False,47,11,19,,0.014765769277107687,0.012214805766302567,0.9705139137829302
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,CatBoost,False,48,10,19,,0.020448032228121502,0.018674299277764816,0.8544851918702773
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,CatBoost,False,46,12,19,,0.0063852128583914034,0.0046249406719775605,0.9931839530393224
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,CatBoost,False,43,15,19,,0.008031550542579808,0.006841158105223603,0.9899381436795932
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,CatBoost,False,48,10,19,,0.01788225669980042,0.014341487388778662,0.9552776831944831
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell01,MAW-GME,False,47,11,19,7.0,0.010704840508252931,0.009026071126132629,0.9845023668200372
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell03,MAW-GME,False,48,10,19,7.0,0.01864393491770858,0.018273065320447403,0.8790295474036227
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell10,MAW-GME,False,46,12,19,7.0,0.005342840574901106,0.004601628808139034,0.9952277163845636
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell11,MAW-GME,False,43,15,19,7.0,0.00802330463629166,0.006442340040099389,0.9899587938721334
StructuredWindowAblation,only_narrow_window,Only narrow partial-window features are available.,Cell12,MAW-GME,False,48,10,19,7.0,0.012983738692605648,0.012067457685327753,0.9764235084942059
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell01,Ridge,False,47,11,19,,0.02002884142206704,0.018035862104379283,0.9457478903242051
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell03,Ridge,False,48,10,19,,0.025473521084611723,0.023726646853338716,0.7741697536750185
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell10,Ridge,False,46,12,19,,0.011254244844423797,0.009638066506024537,0.9788254332289132
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell11,Ridge,False,43,15,19,,0.01930303476329002,0.018108263146541095,0.9418793445130702
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell12,Ridge,False,48,10,19,,0.027126410930242456,0.024382600919087505,0.8970884031862604
