window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
narrow_36_385,ExtraTrees,0.010208667380935498,0.008858939936597003,4,1488.491455078125,0.011700396658794408,19,Cell12,Dataset 1
medium_35_40,Ridge,0.011742317202873049,0.009544040886556405,4,2.306640625,0.012023177638615047,19,Cell12,Dataset 1
medium_35_40,ExtraTrees,0.010680025743782243,0.008911274710806182,4,1488.337158203125,0.012240609569026733,19,Cell12,Dataset 1
full_32_42,ElasticNet,0.01244364968536126,0.011882613580978304,4,2.3623046875,0.012745439711921968,19,Cell12,Dataset 1
narrow_36_385,RandomForest,0.011438949619792036,0.00966437273170465,4,981.004150390625,0.013015144344261338,19,Cell12,Dataset 1
full_32_42,RandomForest,0.01147770755799807,0.009639216998544883,4,980.7880859375,0.013059192299854198,19,Cell12,Dataset 1
medium_35_40,ElasticNet,0.013086625446990716,0.010788990644903556,4,2.3896484375,0.013406129180731268,19,Cell12,Dataset 1
very_narrow_365_38,ExtraTrees,0.01205384308370949,0.009456058414801129,4,1491.020751953125,0.013815605472280576,19,Cell12,Dataset 1
very_narrow_365_38,Ridge,0.014101318077858416,0.01258204124738232,4,2.388671875,0.01444551378549659,19,Cell12,Dataset 1
medium_35_40,RandomForest,0.012902595138368946,0.010412591201185427,4,980.920166015625,0.014680446304994243,19,Cell12,Dataset 1
narrow_36_385,CatBoost,0.013686524572479541,0.011408344270541118,4,104.521484375,0.014961811548866109,19,Cell12,Dataset 1
very_narrow_365_38,ElasticNet,0.015695293972191895,0.01400275721121574,4,2.4716796875,0.016085993326624904,19,Cell12,Dataset 1
very_narrow_365_38,RandomForest,0.014409815895240994,0.01173579597498667,4,981.002197265625,0.016395371387028266,19,Cell12,Dataset 1
very_narrow_365_38,CatBoost,0.015198968625506414,0.012470896161030502,4,104.6328125,0.016615503092463582,19,Cell12,Dataset 1
full_32_42,CatBoost,0.017565697876885458,0.014502935243533768,4,104.0234375,0.019200777515266235,19,Cell12,Dataset 1
full_32_42,XGBoost,0.017236199474999374,0.014095648892662349,4,332.214599609375,0.01923862760923292,19,Cell12,Dataset 1
very_narrow_365_38,SVR,0.018876351496325324,0.0136414254072299,4,7.171875,0.019669421916764396,19,Cell12,Dataset 1
narrow_36_385,XGBoost,0.017917049571101795,0.015153434956440913,4,333.470703125,0.019999924246961776,19,Cell12,Dataset 1
medium_35_40,XGBoost,0.017982022251162234,0.014850701276118016,4,336.76318359375,0.020075973001516933,19,Cell12,Dataset 1
medium_35_40,CatBoost,0.019846266487188242,0.01581936300644306,4,104.6328125,0.02169592623793876,19,Cell12,Dataset 1
very_narrow_365_38,XGBoost,0.0200613373627633,0.016785456213118298,4,337.17724609375,0.022397909473371377,19,Cell12,Dataset 1
narrow_36_385,SVR,0.021596247861960575,0.01610894393976669,4,6.1826171875,0.022447858676316008,19,Cell12,Dataset 1
medium_35_40,SVR,0.02987471840108373,0.022168973603558448,4,6.849609375,0.03110583389881873,19,Cell12,Dataset 1
full_32_42,SVR,0.03023776632392588,0.023367131820663453,4,6.7822265625,0.03147862899751683,19,Cell12,Dataset 1
full_32_42,LightGBM,0.08960006455178395,0.07617862194743483,4,5.748046875,0.09302144859190062,19,Cell12,Dataset 1
medium_35_40,LightGBM,0.08960006455178395,0.07617862194743483,4,5.775390625,0.09302869528521765,19,Cell12,Dataset 1
narrow_36_385,LightGBM,0.08960006455178395,0.07617862194743483,4,5.7890625,0.09303230767205281,19,Cell12,Dataset 1
very_narrow_365_38,LightGBM,0.08960006455178395,0.07617862194743483,4,5.857421875,0.09305026117707871,19,Cell12,Dataset 1
full_32_42,HistGB,0.08960006484068406,0.07617862220645678,4,55.31982421875,0.09682370555878674,19,Cell12,Dataset 1
medium_35_40,HistGB,0.08960006484068406,0.07617862220645678,4,55.352294921875,0.09682473842377877,19,Cell12,Dataset 1
narrow_36_385,HistGB,0.08960006484068406,0.07617862220645678,4,55.356201171875,0.09682486263810709,19,Cell12,Dataset 1
