dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,LightGBM,0.09315613669860912,0.09672459963325174,0.0075118256200814035,104.5048828125,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,LightGBM,0.09315613669860912,0.09674326568195135,0.007510376257302864,104.529296875,19
Dataset 1,Cell10,MAW-GME-full-36experts,full_32_42,HistGB,0.09315613686915916,0.10065788255320968,0.007218295379583372,84.08984375,19
Dataset 1,Cell10,MAW-GME-full-36experts,medium_35_40,HistGB,0.09315613686915916,0.10065901002499678,0.007218214528166486,84.125,19
Dataset 1,Cell10,MAW-GME-full-36experts,narrow_36_385,HistGB,0.09315613686915916,0.10065911543711709,0.00721820696911712,84.123046875,19
Dataset 1,Cell10,MAW-GME-full-36experts,very_narrow_365_38,HistGB,0.09315613686915916,0.1006611900308408,0.007218058204281513,84.18359375,19
Dataset 1,Cell10,Fast-MAW-GME-K3-latency-aware,full_32_42,ExtraTrees,0.012092062021428363,0.013848295891767809,0.349695159219885,1868.14453125,19
Dataset 1,Cell10,Fast-MAW-GME-K3-latency-aware,full_32_42,RandomForest,0.012581450293024871,0.01430428050296956,0.3385477617881207,1221.4677734375,19
Dataset 1,Cell10,Fast-MAW-GME-K3-latency-aware,narrow_36_385,RandomForest,0.013662611804635238,0.015533512284097904,0.31175707899199434,1221.6494140625,19
Dataset 1,Cell10,Fast-MAW-GME-K5-latency-aware,full_32_42,ExtraTrees,0.012092062021428363,0.013848295891767809,0.21797624815506475,1868.14453125,19
Dataset 1,Cell10,Fast-MAW-GME-K5-latency-aware,full_32_42,RandomForest,0.012581450293024871,0.01430428050296956,0.21102771654173033,1221.4677734375,19
Dataset 1,Cell10,Fast-MAW-GME-K5-latency-aware,narrow_36_385,RandomForest,0.013662611804635238,0.015533512284097904,0.1943282216604183,1221.6494140625,19
Dataset 1,Cell10,Fast-MAW-GME-K5-latency-aware,medium_35_40,RandomForest,0.013904871218559947,0.015808993593227964,0.19094193658633174,1221.7763671875,19
Dataset 1,Cell10,Fast-MAW-GME-K5-latency-aware,narrow_36_385,ExtraTrees,0.014191660336230842,0.016252985056115225,0.18572587705645485,1869.029296875,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,ElasticNet,0.010552689197267125,0.010811177639448387,0.05733572518568171,2.4033203125,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,Ridge,0.012062947974341317,0.012352472937085674,0.050181593982634325,2.3203125,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,ExtraTrees,0.013225464378455724,0.015128103213103802,0.04097452700772555,1742.4169921875,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,Ridge,0.015228896683274748,0.015590622279814044,0.0397589573213669,2.279296875,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,ExtraTrees,0.01370870360662115,0.015680877795996667,0.03953011407839445,1742.3173828125,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,RandomForest,0.013955313119890195,0.015849000305477833,0.039110788085739916,1147.208984375,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,Ridge,0.015510173729842858,0.015881156226477504,0.039031597213105944,2.306640625,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,ElasticNet,0.015613367005315357,0.015992030706269537,0.038760987094238586,2.3623046875,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,RandomForest,0.014130366074672893,0.016047854376755086,0.038626154164420355,1147.25,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,ElasticNet,0.016255564959590227,0.016652436843766102,0.03722379595274318,2.3896484375,19
