exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
True,medium_32_35,MultiHI-DeepSequence,GRU,0.09506268342324095,0.040820490431765284,0.07839764766364772,0.03204787346983982,-2.9442590520281406,3.2045705345956286
True,medium_32_35,MultiHI-DeepSequence,LSTM,0.03454527986867733,0.00648638421615412,0.027393587183061934,0.007034046370253781,0.5391954324318112,0.17169280540329396
True,medium_32_35,MultiHI-DeepSequence,TCN,0.0638712533915077,0.016857528414520716,0.05196089421741494,0.01420638459988699,-0.5886540201562392,0.7518164585023848
True,medium_32_35,MultiHI-DeepSequence,TransformerEncoder,0.024774148238629057,0.01448115086431917,0.017667858725264822,0.004437944978467832,0.6989145142656319,0.3886947736942556
True,medium_32_35,MultiHI-Tabular,CatBoost,0.0056807796888974854,0.002310894076189609,0.004384331740665335,0.002049269617511967,0.9871443484231157,0.010103645651820396
True,medium_32_35,MultiHI-Tabular,ElasticNet,0.006203311657047699,0.0026902743532753507,0.005410917824131639,0.002915967526475065,0.9841615803276802,0.01388741088116585
True,medium_32_35,MultiHI-Tabular,ExtraTrees,0.002802757781324032,0.0014472616347336199,0.001814378547246249,0.000909983086307591,0.9966529620425353,0.0031261076991669443
True,medium_32_35,MultiHI-Tabular,HistGB,0.005177685145852591,0.0011562269514534408,0.002915330364239345,0.0006816254957600167,0.9902272055264852,0.004238250061487501
True,medium_32_35,MultiHI-Tabular,KNN,0.008131873080528929,0.0019202724127708082,0.006097033756048117,0.0013298955162311893,0.9757206634232943,0.011854605690863298
True,medium_32_35,MultiHI-Tabular,LightGBM,0.005506822891073723,0.0014860474876995501,0.0034176377498253987,0.001189531068700725,0.9886695034645008,0.0060940224360110685
True,medium_32_35,MultiHI-Tabular,RandomForest,0.002544801322527767,0.0012713525797535537,0.001596752533307668,0.0006735259591403801,0.9972860094733462,0.002441263179829772
True,medium_32_35,MultiHI-Tabular,Ridge,0.008438647148019725,0.005715381834886933,0.007648555618249382,0.005915391236174312,0.9652905054824155,0.04222048486337685
True,medium_32_35,MultiHI-Tabular,SVR-RBF,0.005681716359693531,0.0007751669737439166,0.004012471507361865,0.0010016313275782649,0.9885099466252489,0.0031578574522994566
True,medium_32_35,MultiHI-Tabular,XGBoost,0.0031181323639338466,0.0014808374362995508,0.0020396633756676165,0.0008837191117445761,0.9959837469918218,0.003196202372851835
True,medium_32_35,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011990247634829075,0.007429151124711361,0.009696489198346798,0.007123154023601658,0.9338757388077019,0.08715870773144417
True,narrow_33_345,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020647727772919795,0.03501883734334413,0.009825444656392627,0.014726008441650984,0.5139533891267789,1.0626864768005249
