exclude_outliers,window,experiment,model,RMSE,MAE,R2
True,paper_335_350,MultiHI-Tabular,KNN,0.011131846120032545,0.007873230461083323,0.9549314432129791
True,paper_335_350,MultiHI-DeepSequence,TransformerEncoder,0.01864832240851471,0.013869960105289814,0.8672749363064414
True,paper_335_350,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020280570972726585,0.009587940207618838,0.5233742088469273
True,paper_335_350,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.02831122726169666,0.013167414192681564,0.716991921597829
True,paper_335_350,MultiHI-DeepSequence,TCN,0.06079371304690566,0.04950024876550272,-0.41306758562790497
True,paper_335_350,MultiHI-DeepSequence,LSTM,0.062375514130324675,0.04850398757496136,-0.7338267665173579
True,paper_335_350,MultiHI-DeepSequence,GRU,0.12029824115109448,0.10056397510143053,-4.951087904658761
True,very_narrow_335_340,MultiHI-Tabular,RandomForest,0.0025460405776984176,0.00159655495680762,0.9973722803921377
True,very_narrow_335_340,MultiHI-Tabular,ExtraTrees,0.002600899124039706,0.0016993310587001126,0.9971931704385073
True,very_narrow_335_340,MultiHI-Tabular,XGBoost,0.003311630903812858,0.0021804522967902194,0.9953703407145735
True,very_narrow_335_340,MultiHI-Tabular,HistGB,0.004866355332768564,0.0027417043149143712,0.9915674991974747
True,very_narrow_335_340,MultiHI-Tabular,CatBoost,0.00488032203847803,0.0033962971349034616,0.9910125188440801
True,very_narrow_335_340,MultiHI-Tabular,LightGBM,0.005066673788753064,0.003000696227717919,0.9908090865531738
True,very_narrow_335_340,MultiHI-Tabular,ElasticNet,0.006807646358562461,0.004459914022927832,0.9793449080698547
True,very_narrow_335_340,MultiHI-Tabular,Ridge,0.007653349892490656,0.005264388960328258,0.9765153967519213
True,very_narrow_335_340,MultiHI-Tabular,SVR-RBF,0.010411538563514499,0.006834165121367894,0.9465186772471045
True,very_narrow_335_340,MultiHI-Tabular,KNN,0.01325987586535326,0.009199046725598663,0.9304619565414264
True,very_narrow_335_340,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.018741686376279536,0.013034960342479973,0.8483251566554026
True,very_narrow_335_340,MultiHI-DeepSequence,TransformerEncoder,0.03849742386359491,0.021132525726827195,-0.10286173230635103
True,very_narrow_335_340,MultiHI-DeepSequence,LSTM,0.0391730490385135,0.027715542813529098,0.2846523296904496
True,very_narrow_335_340,MultiHI-DeepSequence,TCN,0.06096550963138377,0.0487479092321337,-0.6732695000945728
True,very_narrow_335_340,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.061381871925821604,0.04209925898079231,-0.9925730315967798
True,very_narrow_335_340,MultiHI-DeepSequence,GRU,0.06408605553178223,0.051840482586140345,-0.5820600482043616
