exclude_outliers,scenario,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
True,only_medium_window,Ridge,0.008438647148019725,0.005715381834886933,0.007648555618249382,0.005915391236174312,0.9652905054824155,0.04222048486337685
True,only_medium_window,XGBoost,0.0031181323639338466,0.0014808374362995508,0.0020396633756676165,0.0008837191117445761,0.9959837469918218,0.003196202372851835
True,only_narrow_window,CatBoost,0.005907581414425676,0.0023621853378977624,0.004632640102793686,0.001983302007207082,0.9861981325409175,0.010260965898538569
True,only_narrow_window,ExtraTrees,0.0028158722673888035,0.001639444229724888,0.0018531954373303783,0.000933666236873616,0.9964506944291435,0.003665198444638554
True,only_narrow_window,HistGB,0.004796524955611909,0.00128045413330909,0.0028261747191918466,0.0008126780960493758,0.9914371592506261,0.004835900734771324
True,only_narrow_window,LightGBM,0.005236489760794846,0.0012622559474699843,0.0032218971133126167,0.0008696739403223738,0.9898667348858854,0.005302765228556347
True,only_narrow_window,RandomForest,0.0027059876579969347,0.0014069753469394194,0.001680249734191746,0.0007654296708333151,0.9968545413457243,0.003096319292349861
True,only_narrow_window,Ridge,0.006216254840158524,0.002615761232856157,0.0052339914591665185,0.0028396605362579347,0.9843555233455945,0.0139453064851049
True,only_narrow_window,XGBoost,0.003404584873916533,0.001584228609341277,0.002193630945617429,0.0009254282833117541,0.9952048882600014,0.004125220169258638
True,only_very_narrow_window,CatBoost,0.00488032203847803,0.0013952068211758133,0.0033962971349034616,0.0012503502194466058,0.9910125188440801,0.005480624079035637
True,only_very_narrow_window,ExtraTrees,0.0026008991240397037,0.0012512816246122666,0.001699331058700113,0.0007056276905766862,0.9971931704385073,0.0024451541329642123
True,only_very_narrow_window,HistGB,0.004866355332768564,0.0006205861883237264,0.0027417043149143712,0.0006091534771376782,0.9915674991974747,0.0023086146449023673
True,only_very_narrow_window,LightGBM,0.005066673788753064,0.0007379777929688077,0.003000696227717919,0.0005849030439881699,0.9908090865531738,0.0027664534912148035
True,only_very_narrow_window,RandomForest,0.0025460405776984068,0.0011403195288365363,0.0015965549568076093,0.00055780631071289,0.9973722803921378,0.0021805394576818416
True,only_very_narrow_window,Ridge,0.007653349892490656,0.0031615973324132293,0.005264388960328258,0.0014753633017896503,0.9765153967519213,0.020458952590845472
True,only_very_narrow_window,XGBoost,0.003311630903812858,0.001636989962125058,0.0021804522967902194,0.0010472567713284318,0.9953703407145735,0.0040616287494015905
True,pmax_features_missing,CatBoost,0.006232432872103292,0.0025053662161570924,0.005031714698569181,0.002376303785048172,0.9843773234449346,0.014435842146846005
True,pmax_features_missing,ExtraTrees,0.002783906221232225,0.0013407083387210388,0.001972602157073798,0.0010849524051608046,0.9967202320468308,0.0034113122148119825
True,pmax_features_missing,HistGB,0.004574039868848971,0.0016929510581525893,0.002707283721137412,0.0009091597056941121,0.991794902095334,0.006286988005335559
True,pmax_features_missing,LightGBM,0.005266176136682585,0.001637021702984357,0.00326073332767953,0.0010708804020887973,0.9893918591312657,0.007630744788092682
True,pmax_features_missing,RandomForest,0.0027502311837825726,0.0013555793114492292,0.0017292593100591632,0.0007852859417725359,0.9967891766977062,0.0032833342436849903
True,pmax_features_missing,Ridge,0.005880714243859874,0.004053189979553952,0.003970233348672164,0.002394591485794328,0.9829637732007436,0.020220731863774002
True,pmax_features_missing,XGBoost,0.0032375474728446804,0.0017317215283697712,0.0020217958055037044,0.0009633986731124456,0.9954895606656754,0.004032240337933899
