experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,XGBoost,False,13,0.004724037109359649,0.002915708211592266,0.9925510405917811
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,XGBoost,False,13,0.002372190182250719,0.0018356402928013029,0.998036073091403
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,XGBoost,False,13,0.001674179975558241,0.0011325698449137012,0.9990317643043862
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,XGBoost,False,13,0.0028620589545499844,0.0017032559339805588,0.997098253952285
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,XGBoost,False,13,0.005390458147864069,0.0033809804447993176,0.9893073093601515
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,LightGBM,False,13,0.00555317379407287,0.003334281013647949,0.9897067733050651
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,LightGBM,False,13,0.004426636727183264,0.0031514068940381905,0.9931612917215173
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,LightGBM,False,13,0.0038513425806494936,0.002374253167202486,0.9948760945666394
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,LightGBM,False,13,0.005192199568936759,0.0026336579654323835,0.9904499640955109
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,LightGBM,False,13,0.007159096133131842,0.004615886526242076,0.9811395507406944
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,CatBoost,False,13,0.008348408306026109,0.006866929178882824,0.9767364295831255
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell52,CatBoost,False,13,0.003277836371655119,0.0027057042906717247,0.9962502626194312
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell53,CatBoost,False,13,0.004942478273995026,0.003477470547664517,0.9915614788899734
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell54,CatBoost,False,13,0.004503534673982869,0.003423299159178546,0.9928152895150806
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell55,CatBoost,False,13,0.008465649446469261,0.006689797337570819,0.973627202096977
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,Ridge,False,13,0.0069959446013286,0.006200375067649522,0.9836633979440274
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,Ridge,False,13,0.005691538104194287,0.004992137182189016,0.9886946084622107
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,Ridge,False,13,0.004726680793487669,0.0037755222537067573,0.9922822740769972
