window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
full_27_36,KNN,0.020447332593808747,0.011761465773683326,4,25.9072265625,0.021793746463171997,18,Cell54,Dataset 3
paper_335_350,ExtraTrees,0.0018279445043406766,0.0012941362872229377,4,12136.998046875,0.0021717478216893202,18,Cell55,Dataset 3
paper_335_350,RandomForest,0.0021465710614836857,0.0015081873541871497,4,3358.279296875,0.0024951519520144206,18,Cell55,Dataset 3
very_narrow_335_340,ExtraTrees,0.0021500486703139466,0.0015014958232225316,4,12140.595703125,0.0025544467020118533,18,Cell55,Dataset 3
very_narrow_335_340,RandomForest,0.0022598439162989387,0.00159601117268237,4,3356.708984375,0.002626798011890083,18,Cell55,Dataset 3
narrow_33_345,ExtraTrees,0.0023074921673445275,0.001608178658987118,4,12140.654296875,0.002741503630600869,18,Cell55,Dataset 3
narrow_33_345,RandomForest,0.002412160058802105,0.001633785045171992,4,3355.431640625,0.0028038289365515975,18,Cell55,Dataset 3
medium_32_35,ExtraTrees,0.0025517755629394833,0.0016442168021569244,4,12147.1796875,0.0030317612095034597,18,Cell55,Dataset 3
medium_32_35,RandomForest,0.0026618319853183472,0.0017121919977402733,4,3355.3828125,0.003094039986811127,18,Cell55,Dataset 3
medium_32_35,ElasticNet,0.0031131322704518417,0.0026674364948879436,4,2.2265625,0.003186067812235948,18,Cell55,Dataset 3
paper_335_350,Ridge,0.0033321945986308056,0.0026228851235512523,4,2.1572265625,0.003408814679510737,18,Cell55,Dataset 3
very_narrow_335_340,XGBoost,0.003034411856021136,0.0020836651261529606,4,568.04248046875,0.0034194153067714068,18,Cell55,Dataset 3
paper_335_350,ElasticNet,0.003425756820112772,0.0027746258453588317,4,2.2392578125,0.003506285690580187,18,Cell55,Dataset 3
paper_335_350,XGBoost,0.003165348768181542,0.0021569109512537396,4,564.612060546875,0.00356658258151101,18,Cell55,Dataset 3
narrow_33_345,ElasticNet,0.003670553724519408,0.002902036018812356,4,2.239990234375,0.003756853604535265,18,Cell55,Dataset 3
medium_32_35,XGBoost,0.0033541622058083248,0.0021923591679762775,4,564.586181640625,0.0037793265953437673,18,Cell55,Dataset 3
